"year","stamp"
1958,"none"
1958,"none"
1958,"none"
1958,"none"
1958,"D"
1958,"D"
1958,"D"
1958,"D"
1958,"D"
1958,"D"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"none"
1957,"D"
1957,"D"
1957,"D"
1957,"D"
1957,"D"
1957,"D"
1957,"D"
1957,"D"
1957,"D"
1956,"none"
1956,"none"
1956,"none"
1956,"none"
1956,"none"
1956,"none"
1956,"none"
1956,"none"
1956,"none"
1956,"none"
1956,"D"
1956,"D"
1956,"D"
1956,"D"
1956,"D"
1956,"D"
1955,"none"
1955,"none"
1955,"none"
1955,"none"
1955,"D"
1955,"D"
1955,"D"
1955,"D"
1954,"D"
1954,"D"
1953,"D"
1953,"D"
1953,"D"
1953,"D"
1953,"D"
1953,"D"
1953,"D"
1953,"D"
1952,"none"
1952,"none"
1952,"D"
1952,"D"
1952,"D"
1952,"D"
1952,"D"
1952,"D"
1952,"D"
1952,"D"
1952,"D"
1951,"none"
1951,"none"
1951,"none"
1951,"D"
1951,"D"
1951,"D"
1951,"D"
1951,"D"
1950,"none"
1950,"none"
1950,"none"
1950,"none"
1950,"none"
1950,"none"
1950,"D"
1950,"D"
1950,"S"
1949,"none"
1949,"none"
1949,"none"
1948,"none"
1948,"D"
1947,"none"
1947,"none"
1947,"none"
1946,"none"
1946,"none"
1946,"none"
1946,"none"
1946,"none"
1946,"none"
1946,"none"
1946,"none"
1946,"none"
1946,"D"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1945,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"none"
1944,"D"
1944,"S"
1942,"none"
1942,"none"
1942,"none"
1942,"none"
1942,"none"
1942,"none"
1942,"none"
1942,"none"
1942,"none"
1942,"none"
1941,"none"
1941,"none"
1941,"none"
1941,"none"
1941,"none"
1941,"D"
1940,"none"
1940,"none"
1940,"D"
1939,"none"
1938,"none"
1938,"none"
1936,"none"
1936,"none"
1934,"none"
1928,"none"
1927,"none"
1927,"D"
