"year","stamp","count"
1927,"none",1
1927,"D",1
1928,"none",1
1934,"none",1
1936,"none",2
1938,"none",2
1939,"none",1
1940,"none",2
1940,"D",1
1941,"none",5
1941,"D",1
1942,"none",10
1944,"none",11
1944,"D",1
1944,"S",1
1945,"none",12
1946,"none",9
1946,"D",1
1947,"none",3
1948,"none",1
1948,"D",1
1949,"none",3
1950,"none",6
1950,"D",2
1950,"S",1
1951,"none",3
1951,"D",5
1952,"none",2
1952,"D",9
1953,"D",8
1954,"D",2
1955,"none",4
1955,"D",4
1956,"none",10
1956,"D",6
1957,"none",11
1957,"D",9
1958,"none",4
1958,"D",6
